1.html , Spring 2004 Women's Tennis Schedule,  Oct 18 (Sat) 09:00 AM, Patriot League Championship, Bethlehem Pa., Lehigh wins three titles,
1.html , Spring 2004 Women's Tennis Schedule,  Oct 25 (Sat), ITA Division I East Regional Championships, Blacksburg VA, Complete results,
189.html , All 2003-2004 Men's Golf Schedule,  Sep 21 (Sun) 08:00 AM, James Madison Invitational, Harrisonburg Va., Na,13 of 17,
189.html , All 2003-2004 Men's Golf Schedule,  Sep 27 (Sat) 08:00 AM, Cornell Invitational, Ithaca N.Y., T3 of 17,
189.html , All 2003-2004 Men's Golf Schedule,  Oct 4 (Sat) 08:00 AM, Temple Invitational, Moosic Pa., Na,6 of 13,
189.html , All 2003-2004 Men's Golf Schedule,  Oct 12 (Sun) 08:00 AM, Don Mershon Classic, Indian Valley CC, Na,1 of 16,
189.html , All 2003-2004 Men's Golf Schedule,  Oct 18 (Sat) 08:00 AM, Big Five Classic, Philadelphia Pa., Na,10 of 12,
189.html , All 2003-2004 Men's Golf Schedule,  Mar 22 (Mon) 08:00 AM, William & Mary, Williamsburg Va., T14 of 20,
189.html , All 2003-2004 Men's Golf Schedule,  Mar 28 (Sun) 07:30 AM, George Washington Invitational, Washington D.C., T8 of 20,
189.html , All 2003-2004 Men's Golf Schedule,  Apr 3 (Sat) 08:00 AM, Navy Invitational, Annapolis,Md., Na,14 of 23,
189.html , All 2003-2004 Men's Golf Schedule,  Apr 9 (Fri) 08:00 AM, Princeton Invitational, Princeton N.J., T 17 of 23,
189.html , All 2003-2004 Men's Golf Schedule,  Apr 20 (Tue) 01:00 PM, LV Collegiate Invite, Saucon Valley CC, Na,2 of 4,
189.html , All 2003-2004 Men's Golf Schedule,  Apr 24 (Sat) 08:00 AM, PL Championship, Hamilton N.Y., Na,2 of 8,
190.html , Fall 2008 Women's Soccer Schedule,  Aug 29 (Fri) 07:30 PM, Rutgers, Ulrich Sports Complex, L, 1-2,
190.html , Fall 2008 Women's Soccer Schedule,  Aug 31 (Sun) 01:00 PM, Albany, Ulrich Sports Complex, W, 1-0,
190.html , Fall 2008 Women's Soccer Schedule,  Sep 5 (Fri) 07:00 PM, Davidson, Davidson N.C., T, 2-2 2 OT,
190.html , Fall 2008 Women's Soccer Schedule,  Sep 7 (Sun) 01:00 PM, College of Charleston, Davidson N.C., L, 0-1,
190.html , Fall 2008 Women's Soccer Schedule,  Sep 12 (Fri) 05:00 PM, Saint Joseph's, Philadelphia Pa., L, 0-4,
190.html , Fall 2008 Women's Soccer Schedule,  Sep 14 (Sun) 05:00 PM, Cornell, Ithaca N.Y., W, 1-0,
190.html , Fall 2008 Women's Soccer Schedule,  Sep 19 (Fri) 07:00 PM, Monmouth, Ulrich Sports Complex, L, 0-1 OT,
190.html , Fall 2008 Women's Soccer Schedule,  Sep 21 (Sun) 01:00 PM, Marist, Poughkeepsie N.Y., W, 1-0,
190.html , Fall 2008 Women's Soccer Schedule,  Sep 26 (Fri) 07:00 PM, Fairleigh Dickinson, Ulrich Sports Complex, W, 1-0,
190.html , Fall 2008 Women's Soccer Schedule,  Sep 28 (Sun) 01:00 PM, Mount St. Mary's, Ulrich Sports Complex, Postponed,
190.html , Fall 2008 Women's Soccer Schedule,  Oct 4 (Sat) 4:30:00 PM, Holy Cross, Ulrich Sports Complex, L, 0-3,
190.html , Fall 2008 Women's Soccer Schedule,  Oct 10 (Fri) 4:00:00 PM, American, Washington D.C., L, 0-1,
190.html , Fall 2008 Women's Soccer Schedule,  Oct 12 (Sun) 1:00:00 PM, Navy, Annapolis Md., L, 0-2,
190.html , Fall 2008 Women's Soccer Schedule,  Oct 15 (Wed) 05:00 PM, Princeton, Princeton N.J., L, 0-1,
190.html , Fall 2008 Women's Soccer Schedule,  Oct 18 (Sat) 7:00:00 PM, Lafayette, Easton Pa., W, 2-0,
190.html , Fall 2008 Women's Soccer Schedule,  Oct 24 (Fri) 7:00:00 PM, Bucknell, Ulrich Sports Complex, L, 0-2,
190.html , Fall 2008 Women's Soccer Schedule,  Oct 26 (Sun) 1:00:00 PM, Colgate, Ulrich Sports Complex, L, 0-1,
190.html , Fall 2008 Women's Soccer Schedule,  Oct 31 (Fri) 7:00:00 PM, Army, West Point N.Y., W, 2-0,
191.html , Fall 2004 Football Schedule,  Sep 4 (Sat) 01:00 PM, Stony Brook, Goodman Stadium, W, 25-2,
191.html , Fall 2004 Football Schedule,  Sep 11 (Sat) 01:00 PM, No. 8 Villanova, Goodman Stadium, L, 16-22,
191.html , Fall 2004 Football Schedule,  Sep 18 (Sat) 07:00 PM, Liberty, Lynchburg VA, W, 34-16,
191.html , Fall 2004 Football Schedule,  Oct 2 (Sat) 01:00 PM, Albany, Goodman Stadium, W, 44-14,
191.html , Fall 2004 Football Schedule,  Oct 9 (Sat) 1:00:00 PM, Holy Cross, Worcester MA, W, 42-14,
191.html , Fall 2004 Football Schedule,  Oct 16 (Sat) 01:00 PM, Yale, New Haven CT, W, 30-24,
191.html , Fall 2004 Football Schedule,  Oct 23 (Sat) 1:00:00 PM, Bucknell, Goodman Stadium, W, 40-17,
191.html , Fall 2004 Football Schedule,  Oct 30 (Sat) 1:00:00 PM, No. 18 Colgate, Goodman Stadium, W, 21-14,
191.html , Fall 2004 Football Schedule,  Nov 6 (Sat) 12:30:00 PM, Georgetown, Washington DC, W, 49-18,
191.html , Fall 2004 Football Schedule,  Nov 13 (Sat) 12:30:00 PM, Fordham, Goodman Stadium, W, 21-14,
191.html , Fall 2004 Football Schedule,  Nov 20 (Sat) 12:30:00 PM, Lafayette, Easton PA, L, 10-24,
191.html , Fall 2004 Football Schedule,  Nov 27 (Sat) 12:30 PM, No. 8 James Madison, Goodman Stadium, L, 13-14,
191.html , Fall 2004 Football Schedule,  Jan 22 (Sat) 05:00 PM, Lehigh Football Banquet, Wood Dining Room,Iacocca Hall, Postponed,
191.html , Fall 2004 Football Schedule,  Feb 5 (Sat) 06:00 PM, Lehigh Football Banquet, Wood Dining Room Iacocca Hall, Banquet recap,
192.html , Spring 2010 Women's Lacrosse Schedule,  Feb 20 (Sat) 01:00 PM, Mount St. Mary's, Ulrich Sports Complex, W, 16-4,
192.html , Spring 2010 Women's Lacrosse Schedule,  Feb 27 (Sat) 01:00 PM, Delaware, Newark Del., W, 12-11,
192.html , Spring 2010 Women's Lacrosse Schedule,  Mar 6 (Sat) 01:00 PM, Saint Joseph's, Philadelphia Pa., W, 9-7,
192.html , Spring 2010 Women's Lacrosse Schedule,  Mar 9 (Tue) 03:30 PM, Le Moyne, Ulrich Sports Complex, W, 14-8,
192.html , Spring 2010 Women's Lacrosse Schedule,  Mar 12 (Fri) 07:00 PM, Bucknell, Lewisburg Pa., W, 13-2,
192.html , Spring 2010 Women's Lacrosse Schedule,  Mar 16 (Tue) 03:30 PM, Fairfield, Fairfield Conn., W, 14-13 2OT,
192.html , Spring 2010 Women's Lacrosse Schedule,  Mar 20 (Sat) 07:00 PM, Lafayette, Ulrich Sports Complex, W, 20-4,
192.html , Spring 2010 Women's Lacrosse Schedule,  Mar 23 (Tue) 04:00 PM, UC Davis, Ulrich Sports Complex, W, 11-9,
192.html , Spring 2010 Women's Lacrosse Schedule,  Mar 27 (Sat) 02:00 PM, American, Washington D.C., L, 16-17,
192.html , Spring 2010 Women's Lacrosse Schedule,  Mar 30 (Tue) 03:30 PM, Marist, Ulrich Sports Complex, L, 6-8,
192.html , Spring 2010 Women's Lacrosse Schedule,  Apr 3 (Sat) 12:00 PM, Canisius, Buffalo N.Y., W, 16-5,
192.html , Spring 2010 Women's Lacrosse Schedule,  Apr 7 (Wed) 07:30 PM, Penn State, Ulrich Sports Complex, L, 13-14,
192.html , Spring 2010 Women's Lacrosse Schedule,  Apr 10 (Sat) 01:00 PM, Holy Cross, Ulrich Sports Complex, W, 14-7,
192.html , Spring 2010 Women's Lacrosse Schedule,  Apr 12 (Mon) 03:30 PM, Albany, Ulrich Sports Complex, W, 17-14,
192.html , Spring 2010 Women's Lacrosse Schedule,  Apr 17 (Sat) 01:00 PM, Navy, Ulrich Sports Complex, W, 15-7,
192.html , Spring 2010 Women's Lacrosse Schedule,  Apr 24 (Sat) 06:00 PM, Colgate, Hamilton N.Y., W, 15-12,
192.html , Spring 2010 Women's Lacrosse Schedule,  Apr 30 (Fri) 07:05 PM, No. 4 Holy Cross, Ulrich Sports Complex, W, 9-8,
192.html , Spring 2010 Women's Lacrosse Schedule,  May 2 (Sun) 01:00 PM, No. 2 Navy, Ulrich Sports Complex, L, 9-11,
193.html , Spring 2005 Women's Tennis Schedule,  Sep 11 (Sat) 09:00 AM, Cornell Fall Classic, Ithaca N.Y., not scored,
193.html , Spring 2005 Women's Tennis Schedule,  Sep 17 (Fri) 09:00 AM, Eastern Coll. Tournament, West Point NY, not scored,
193.html , Spring 2005 Women's Tennis Schedule,  Oct 16 (Sat) 09:00 AM, Lehigh Invitational, Lewis Tennis Center, not scored,
193.html , Spring 2005 Women's Tennis Schedule,  Oct 23 (Sat), ITA Division I East Regional Championship, Philadelphia Pa., not scored,
193.html , Spring 2005 Women's Tennis Schedule,  Feb 11 (Fri) 03:00 PM, Rutgers, Lewis Tennis Center, L, 2-5,
193.html , Spring 2005 Women's Tennis Schedule,  Feb 13 (Sun) 09:00 AM, Howard, Lewis Tennis Center, W, 5-2,
193.html , Spring 2005 Women's Tennis Schedule,  Feb 13 (Sun) 03:00 PM, Towson, Lewis Tennis Center, W, 6-1,
193.html , Spring 2005 Women's Tennis Schedule,  Feb 20 (Sun) 01:00 PM, Stony Brook, Lewis Tennis Center, W, 6-1,
193.html , Spring 2005 Women's Tennis Schedule,  Feb 26 (Sat) 11:00 AM, Delaware, Lewis Tennis Center, W, 5-2,
193.html , Spring 2005 Women's Tennis Schedule,  Feb 27 (Sun) 01:00 PM, Drexel, Lewis Tennis Center, W, 7-0,
193.html , Spring 2005 Women's Tennis Schedule,  Mar 6 (Sun) 02:00 PM, Florida Southern, Florida, L, 4-5,
193.html , Spring 2005 Women's Tennis Schedule,  Mar 7 (Mon) 02:00 PM, Eckerd, St. Petersburg Fla., L, 3-5,
193.html , Spring 2005 Women's Tennis Schedule,  Mar 10 (Thu) 11:00 AM, James Madison, Tampa Fla., L, 1-6,
193.html , Spring 2005 Women's Tennis Schedule,  Mar 15 (Tue) 03:00 PM, West Chester, Lewis Tennis Center, W, 7-0,
193.html , Spring 2005 Women's Tennis Schedule,  Mar 18 (Fri) 05:00 PM, Penn State, University Park Pa., L, 0-7,
193.html , Spring 2005 Women's Tennis Schedule,  Mar 23 (Wed) 02:30 PM, Villanova, Lewis Tennis Center, W, 6-1,
193.html , Spring 2005 Women's Tennis Schedule,  Mar 24 (Thu) 03:30 PM, Army, West Point NY, L, 0-7,
193.html , Spring 2005 Women's Tennis Schedule,  Apr 2 (Sat) 02:00 PM, American, Washington DC, W, 6-1,
193.html , Spring 2005 Women's Tennis Schedule,  Apr 3 (Sun) 02:30 PM, Colgate, Lewis Tennis Center, W, 5-2,
193.html , Spring 2005 Women's Tennis Schedule,  Apr 5 (Tue) 03:00 PM, Bucknell, Ulrich Varsity Courts, L, 3-4,
193.html , Spring 2005 Women's Tennis Schedule,  Apr 8 (Fri) 02:30 PM, Fordham, Bronx N.Y., L, 2-5,
193.html , Spring 2005 Women's Tennis Schedule,  Apr 12 (Tue) 03:00 PM, Lafayette, Easton PA, W, 5-2,
193.html , Spring 2005 Women's Tennis Schedule,  Apr 16 (Sat) 02:00 PM, Bucknell, West Point NY, L, 1-4,
194.html , Spring 2004 Men's Lacrosse Schedule,  Feb 21 (Sat) 01:00 PM, Delaware, Ulrich Sports Complex, L, 3-5,
194.html , Spring 2004 Men's Lacrosse Schedule,  Feb 29 (Sun) 01:00 PM, Villanova, Philadelphia Pa., L, 6-8,
194.html , Spring 2004 Men's Lacrosse Schedule,  Mar 6 (Sat) 01:00 PM, St. Josephs, Philadelphia Pa., L, 5-8,
194.html , Spring 2004 Men's Lacrosse Schedule,  Mar 10 (Wed) 03:00 PM, No. 19 Pennsylvania, Philadelphia Pa., L, 5-9,
194.html , Spring 2004 Men's Lacrosse Schedule,  Mar 13 (Sat) 01:00 PM, Hobart, Ulrich Sports Complex, L, 4-11,
194.html , Spring 2004 Men's Lacrosse Schedule,  Mar 20 (Sat) 01:00 PM, Stony Brook, Stony Brook N.Y., L, 6-8,
194.html , Spring 2004 Men's Lacrosse Schedule,  Mar 27 (Sat) 01:00 PM, Bucknell, Lewisburg Pa., L, 6-15,
194.html , Spring 2004 Men's Lacrosse Schedule,  Mar 31 (Wed) 04:00 PM, Marist, Ulrich Sports Complex, W, 10-5,
194.html , Spring 2004 Men's Lacrosse Schedule,  Apr 3 (Sat) 01:00 PM, Holy Cross, Ulrich Sports Complex, W, 13-8,
194.html , Spring 2004 Men's Lacrosse Schedule,  Apr 6 (Tue) 07:00 PM, Wagner, Ulrich Sports Complex, W, 14-3,
194.html , Spring 2004 Men's Lacrosse Schedule,  Apr 10 (Sat) 01:00 PM, No. 9 Army, Ulrich Sports Complex, L, 11-14,
194.html , Spring 2004 Men's Lacrosse Schedule,  Apr 16 (Fri) 04:00 PM, No. 2 Navy, Annapolis Md, L, 7-16,
194.html , Spring 2004 Men's Lacrosse Schedule,  Apr 20 (Tue) 07:00 PM, Colgate, Hamilton N.Y., L, 5-7,
194.html , Spring 2004 Men's Lacrosse Schedule,  Apr 24 (Sat) 07:00 PM, Lafayette, Easton Pa., W, 7-6,
195.html , Fall 2009 Cross Country Schedule,  Sep 4 (Fri) 05:30 PM, Lehigh Valley Championship, Goodman Campus, Men: 1 of 5Women: 1 of 7,
195.html , Fall 2009 Cross Country Schedule,  Sep 19 (Sat) 10:00 AM, Lafayette, Easton Pa., Men: Won 19-44Women: Won 28-31,
195.html , Fall 2009 Cross Country Schedule,  Oct 2 (Fri) 10:00 AM, Lehigh Paul Short Run, Goodman Campus, Men - 32 of 42Women - 30 of 40,
195.html , Fall 2009 Cross Country Schedule,  Oct 16 (Fri) 10:00 AM, Penn State National Invite, State College Pa., Cancelled,
195.html , Fall 2009 Cross Country Schedule,  Oct 17 (Sat) 10:00 AM, Lafayette Invite, Easton Pa., Men: 2 of 12Women: 4 of 9,
195.html , Fall 2009 Cross Country Schedule,  Oct 31 (Sat) 11:00 AM, Patriot League Championship, Hamilton N.Y., Men: 4 of 8Women:7 of 8,
195.html , Fall 2009 Cross Country Schedule,  Nov 14 (Sat) 11:00 AM, NCAA Mid-Atlantic Qualifiers, Princess Anne Md., Men: 15 of 28 Women: 16 of 27,
196.html , Spring 2008 Baseball Schedule,  Feb 23 (Sat) 12:00 PM, No. 17 Virginia, Charlottesville Va., L, 1-5 7 innings,
196.html , Spring 2008 Baseball Schedule,  Feb 23 (Sat) 03:00 PM, No. 17 Virginia, Charlottesville Va., L, 1-4,
196.html , Spring 2008 Baseball Schedule,  Feb 24 (Sun) 11:00 AM, No. 17 Virginia, Charlottesville Va., L, 1-12 7 innings,
196.html , Spring 2008 Baseball Schedule,  Feb 24 (Sun) 02:00 PM, No. 17 Virginia, Charlottesville Va., L, 1-6,
196.html , Spring 2008 Baseball Schedule,  Feb 27 (Wed) 12:00 PM, Maryland-Eastern Shore, Princess Anne Md., W, 6-1,
196.html , Spring 2008 Baseball Schedule,  Feb 27 (Wed) 02:30 PM, Maryland-Eastern Shore, Princess Anne Md., W, 4-2 8 innings,
196.html , Spring 2008 Baseball Schedule,  Mar 1 (Sat) 04:30 PM, St. Bonaventure, Palm Beach Fla., L, 7-8,
196.html , Spring 2008 Baseball Schedule,  Mar 2 (Sun) 11:00 AM, Boston College, Palm Beach Fla., W, 16-14 10 innings,
196.html , Spring 2008 Baseball Schedule,  Mar 3 (Mon) 02:00 PM, St. Bonaventure, Palm Beach Fla., W, 7-6,
196.html , Spring 2008 Baseball Schedule,  Mar 4 (Tue) 07:00 PM, No. 6 Miami, Coral Gables Fla., L, 2-9,
196.html , Spring 2008 Baseball Schedule,  Mar 5 (Wed) 03:00 PM, Notre Dame, Palm Beach Fla., Postponed,
196.html , Spring 2008 Baseball Schedule,  Mar 6 (Thu) 10:00 AM, Notre Dame, Palm Beach Fla., W, 4-2,
196.html , Spring 2008 Baseball Schedule,  Mar 7 (Fri) 02:45 PM, Air Force, Palm Beach Fla., W, 15-14,
196.html , Spring 2008 Baseball Schedule,  Mar 8 (Sat) 10:00 AM, Pennsylvania, Palm Beach Fla., W, 7-4 13 innings,
196.html , Spring 2008 Baseball Schedule,  Mar 11 (Tue) 02:30 PM, Delaware State, Dover Del., W, 4-3,
196.html , Spring 2008 Baseball Schedule,  Mar 12 (Wed) 02:30 PM, Coppin State, Baltimore Md., W, 14-1,
196.html , Spring 2008 Baseball Schedule,  Mar 15 (Sat) 12:00 PM, George Washington, Goodman Campus, W, 2-1 7 innings,
196.html , Spring 2008 Baseball Schedule,  Mar 15 (Sat) 02:30 PM, George Washington, Goodman Campus, L, 4-10,
196.html , Spring 2008 Baseball Schedule,  Mar 16 (Sun) 12:00 PM, George Washington, Goodman Campus, L, 1-8,
196.html , Spring 2008 Baseball Schedule,  Mar 18 (Tue) 03:00 PM, Temple, Philadelphia Pa., L, 3-8,
196.html , Spring 2008 Baseball Schedule,  Mar 21 (Fri) 03:35 PM, Penn St, University Park Pa., L, 9-18,
196.html , Spring 2008 Baseball Schedule,  Mar 22 (Sat) 01:05 PM, Penn St, University Park Pa., Cancelled,
196.html , Spring 2008 Baseball Schedule,  Mar 23 (Sun) 01:35 PM, Penn St, University Park Pa., W, 3-1 9 innings,
196.html , Spring 2008 Baseball Schedule,  Mar 23 (Sun) 04:35 PM, Penn St, University Park Pa., L, 0-2 7 innings,
196.html , Spring 2008 Baseball Schedule,  Mar 25 (Tue) 03:00 PM, Villanova, Goodman Campus, W, 3-2,
196.html , Spring 2008 Baseball Schedule,  Mar 29 (Sat) 12:00 PM, Holy Cross, Goodman Campus, L, 0-1 7 innings,
196.html , Spring 2008 Baseball Schedule,  Mar 29 (Sat) 03:00 PM, Holy Cross, Goodman Campus, L, 4-5 11 innings,
196.html , Spring 2008 Baseball Schedule,  Mar 30 (Sun) 12:00 PM, Holy Cross, Goodman Campus, L, 3-6 7 innings,
196.html , Spring 2008 Baseball Schedule,  Mar 30 (Sun) 03:00 PM, Holy Cross, Goodman Campus, L, 3-11,
196.html , Spring 2008 Baseball Schedule,  Apr 1 (Tue) 03:00 PM, Temple, Philadelphia Pa., W, 17-15,
196.html , Spring 2008 Baseball Schedule,  Apr 5 (Sat) 12:00 PM, Navy, Annapolis Md., L, 2-5 7 innings,
196.html , Spring 2008 Baseball Schedule,  Apr 5 (Sat) 03:00 PM, Navy, Annapolis Md., L, 1-4,
196.html , Spring 2008 Baseball Schedule,  Apr 6 (Sun) 12:00 PM, Navy, Goodman Campus, L, 2-4 7 innings,
196.html , Spring 2008 Baseball Schedule,  Apr 6 (Sun) 03:00 PM, Navy, Goodman Campus, W, 6-5,
196.html , Spring 2008 Baseball Schedule,  Apr 8 (Tue) 08:00 PM, Lafayette, Citizens Bank Park, L, 4-5,
196.html , Spring 2008 Baseball Schedule,  Apr 9 (Wed) 03:15 PM, Villanova, Plymouth Meeting Pa., L, 2-11,
196.html , Spring 2008 Baseball Schedule,  Apr 12 (Sat) 12:00 PM, Lafayette, Goodman Campus, W, 5-1 7 innings,
196.html , Spring 2008 Baseball Schedule,  Apr 12 (Sat) 03:00 PM, Lafayette, Goodman Campus, L, 0-5,
196.html , Spring 2008 Baseball Schedule,  Apr 13 (Sun) 12:00 PM, Lafayette, Goodman Campus, W, 3-2 8 innings,
196.html , Spring 2008 Baseball Schedule,  Apr 13 (Sun) 03:00 PM, Lafayette, Goodman Campus, L, 11-17,
196.html , Spring 2008 Baseball Schedule,  Apr 15 (Tue) 03:30 PM, NJIT, Goodman Campus, W, 5-1,
196.html , Spring 2008 Baseball Schedule,  Apr 16 (Wed) 03:30 PM, Delaware State, Goodman Campus, W, 11-5,
196.html , Spring 2008 Baseball Schedule,  Apr 19 (Sat) 12:00 PM, Army, West Point N.Y., W, 4-1,
196.html , Spring 2008 Baseball Schedule,  Apr 19 (Sat) 02:30 PM, Army, West Point N.Y., L, 4-13,
196.html , Spring 2008 Baseball Schedule,  Apr 20 (Sun) 01:00 PM, Army, West Point N.Y., L, 0-5,
196.html , Spring 2008 Baseball Schedule,  Apr 20 (Sun) 02:30 PM, Army, West Point N.Y., L, 0-6,
196.html , Spring 2008 Baseball Schedule,  Apr 23 (Wed) 12:00 PM, Pennsylvania, Philadelphia Pa., W, 3-0 7 innings,
196.html , Spring 2008 Baseball Schedule,  Apr 23 (Wed) 02:30 PM, Pennsylvania, Philadelphia Pa., L, 2-6 7 innings,
196.html , Spring 2008 Baseball Schedule,  Apr 26 (Sat) 12:00 PM, Bucknell, Lewisburg Pa., W, 4-3 7 innings,
196.html , Spring 2008 Baseball Schedule,  Apr 26 (Sat) 02:30 PM, Bucknell, Lewisburg Pa., W, 8-4,
196.html , Spring 2008 Baseball Schedule,  Apr 27 (Sun) 12:00 PM, Bucknell, Lewisburg Pa., L, 4-7 7 innings,
196.html , Spring 2008 Baseball Schedule,  Apr 27 (Sun) 02:30 PM, Bucknell, Lewisburg Pa., W, 13-8,
197.html , Spring 2013 Softball Schedule,  Feb 22 (Fri) 10:00:00 AM, Liberty, Greenville N.C., Cancelled,
197.html , Spring 2013 Softball Schedule,  Feb 22 (Fri) 2:30:00 PM, East Carolina, Greenville N.C., Cancelled,
197.html , Spring 2013 Softball Schedule,  Feb 23 (Sat) 11:00:00 AM, Fairfield, Greenville N.C., Cancelled,
197.html , Spring 2013 Softball Schedule,  Feb 23 (Sat) 3:30:00 PM, East Carolina, Greenville N.C., Cancelled,
197.html , Spring 2013 Softball Schedule,  Feb 24 (Sun) 11:00:00 AM, Notre Dame, Greenville N.C., Cancelled,
197.html , Spring 2013 Softball Schedule,  Mar 1 (Fri) 12:45:00 PM, Columbia, Towson Md., W, 5-4,
197.html , Spring 2013 Softball Schedule,  Mar 1 (Fri) 3:00:00 PM, Towson, Towson Md., T, 4-4,
197.html , Spring 2013 Softball Schedule,  Mar 2 (Sat) 10:30:00 AM, Iona, Towson Md., L, 5-8,
197.html , Spring 2013 Softball Schedule,  Mar 2 (Sat) 3:00:00 PM, Columbia, Towson Md., W, 3-2,
197.html , Spring 2013 Softball Schedule,  Mar 3 (Sun) 10:30:00 AM, Iona, Towson Md., W, 6-2,
197.html , Spring 2013 Softball Schedule,  Mar 6 (Wed) 2:30:00 PM, Temple, Ambler Pa., Cancelled,
197.html , Spring 2013 Softball Schedule,  Mar 6 (Wed) 4:30:00 PM, Temple, Ambler Pa., Cancelled,
197.html , Spring 2013 Softball Schedule,  Mar 10 (Sun) 1:00:00 PM, Eastern Illinois, Kissimmee Fla., L, 3-4,
197.html , Spring 2013 Softball Schedule,  Mar 10 (Sun) 3:00:00 PM, North Dakota, Kissimmee Fla., L, 3-5,
197.html , Spring 2013 Softball Schedule,  Mar 11 (Mon) 9:00:00 AM, Akron, Kissimmee Fla., W, 4-0,
197.html , Spring 2013 Softball Schedule,  Mar 11 (Mon) 1:00:00 PM, Eastern Illinois, Kissimmee Fla., L, 2-8,
197.html , Spring 2013 Softball Schedule,  Mar 12 (Tue) 3:00:00 PM, Butler, Kissimmee Fla., L, 0-2,
197.html , Spring 2013 Softball Schedule,  Mar 12 (Tue) 5:00:00 PM, Robert Morris, Kissimmee Fla., L, 2-4,
197.html , Spring 2013 Softball Schedule,  Mar 14 (Thu) 3:00:00 PM, St. Peter's, Kissimmee Fla., W, 13-2,
197.html , Spring 2013 Softball Schedule,  Mar 14 (Thu) 5:00:00 PM, Wagner, Kissimmee Fla., W, 7-0,
197.html , Spring 2013 Softball Schedule,  Mar 15 (Fri) 11:00:00 AM, North Dakota, Kissimmee Fla., W, 7-0,
197.html , Spring 2013 Softball Schedule,  Mar 15 (Fri) 1:00:00 PM, Columbia, Kissimmee Fla., L, 1-3,
197.html , Spring 2013 Softball Schedule,  Mar 20 (Wed) 3:00:00 PM, Penn, Philadelphia Pa., L, 7-8,
197.html , Spring 2013 Softball Schedule,  Mar 20 (Wed) 5:00:00 PM, Penn, Philadelphia Pa., L, 0-2,
197.html , Spring 2013 Softball Schedule,  Mar 23 (Sat) 12:00:00 PM, Niagara, Kaufman Field, W, 3-1,
197.html , Spring 2013 Softball Schedule,  Mar 23 (Sat) 2:00:00 PM, Niagara, Kaufman Field, W, 6-3,
197.html , Spring 2013 Softball Schedule,  Mar 24 (Sun) 12:00:00 PM, Niagara, Kaufman Field, W, 4-3,
197.html , Spring 2013 Softball Schedule,  Mar 24 (Sun) 2:00:00 PM, Niagara, Kaufman Field, W, 10-8,
197.html , Spring 2013 Softball Schedule,  Mar 27 (Wed) 2:30:00 PM, Hofstra, Kaufman Field, L, 2-5,
197.html , Spring 2013 Softball Schedule,  Mar 27 (Wed) 4:30:00 PM, Hofstra, Kaufman Field, L, 0-5,
197.html , Spring 2013 Softball Schedule,  Mar 29 (Fri) 4:00:00 PM, Bucknell, Lewisburg Pa., W, 6-1,
197.html , Spring 2013 Softball Schedule,  Mar 29 (Fri) 6:00:00 PM, Bucknell, Lewisburg Pa., L, 1-2,
197.html , Spring 2013 Softball Schedule,  Mar 30 (Sat) 1:00:00 PM, Bucknell, Lewisburg Pa., W, 5-2,
197.html , Spring 2013 Softball Schedule,  Mar 30 (Sat) 3:00:00 PM, Bucknell, Lewisburg Pa., W, 3-1,
197.html , Spring 2013 Softball Schedule,  Apr 3 (Wed) 3:00:00 PM, Rider, Kaufman Field, W, 6-3,
197.html , Spring 2013 Softball Schedule,  Apr 3 (Wed) 5:00:00 PM, Rider, Kaufman Field, Cancelled,
197.html , Spring 2013 Softball Schedule,  Apr 6 (Sat) 12:00:00 PM, Lafayette, Kaufman Field, W, 6-1,
197.html , Spring 2013 Softball Schedule,  Apr 6 (Sat) 2:00:00 PM, Lafayette, Kaufman Field, L, 1-2,
197.html , Spring 2013 Softball Schedule,  Apr 7 (Sun) 12:00:00 PM, Lafayette, Kaufman Field, W, 9-1,
197.html , Spring 2013 Softball Schedule,  Apr 7 (Sun) 2:00:00 PM, Lafayette, Kaufman Field, W, 5-0,
197.html , Spring 2013 Softball Schedule,  Apr 10 (Wed) 3:00:00 PM, Fordham, Bronx N.Y., W, 6-1,
197.html , Spring 2013 Softball Schedule,  Apr 10 (Wed) 5:00:00 PM, Fordham, Bronx N.Y., W, 7-1,
197.html , Spring 2013 Softball Schedule,  Apr 13 (Sat) 12:00:00 PM, Army, Kaufman Field, W, 6-5,
197.html , Spring 2013 Softball Schedule,  Apr 13 (Sat) 2:00:00 PM, Army, Kaufman Field, W, 2-0,
197.html , Spring 2013 Softball Schedule,  Apr 14 (Sun) 12:00:00 PM, Army, Kaufman Field, W, 3-2,
197.html , Spring 2013 Softball Schedule,  Apr 14 (Sun) 2:00:00 PM, Army, Kaufman Field, L, 4-5,
197.html , Spring 2013 Softball Schedule,  Apr 17 (Wed) 3:00:00 PM, Princeton, Princeton N.J., W, 9-2,
197.html , Spring 2013 Softball Schedule,  Apr 17 (Wed) 5:00:00 PM, Princeton, Princeton N.J., W, 1-0,
197.html , Spring 2013 Softball Schedule,  Apr 20 (Sat) 12:00:00 PM, Holy Cross, Kaufman Field, W, 5-0,
197.html , Spring 2013 Softball Schedule,  Apr 20 (Sat) 2:00:00 PM, Holy Cross, Kaufman Field, W, 4-2,
197.html , Spring 2013 Softball Schedule,  Apr 21 (Sun) 12:00:00 PM, Holy Cross, Kaufman Field, W, 8-0,
197.html , Spring 2013 Softball Schedule,  Apr 21 (Sun) 2:00:00 PM, Holy Cross, Kaufman Field, W, 4-0,
